ticket_id,event_id,event_name,event_type,event_date,sale_date,days_until_event,seat_section,ticket_price,quantity_sold,city,venue_capacity,revenue,event_month,event_dayofweek,is_weekend
TKT_000001,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-02-10,85,vip,330.04,2,chicago,5000,660.08,5,6,1
TKT_000002,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-03-06,60,floor,235.89,1,chicago,5000,235.89,5,6,1
TKT_000003,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-07,28,upper bowl,118.07,3,chicago,5000,354.21,5,6,1
TKT_000004,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-03-17,49,lower bowl,194.82,3,chicago,5000,584.46,5,6,1
TKT_000005,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-02,33,vip,422.28,3,chicago,5000,1266.84,5,6,1
TKT_000006,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-28,7,lower bowl,220.96,1,chicago,5000,220.96,5,6,1
TKT_000007,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-02-11,84,vip,378.3,4,chicago,5000,1513.2,5,6,1
TKT_000008,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-09,26,vip,452.32,1,chicago,5000,452.32,5,6,1
TKT_000009,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-03-05,61,vip,364.61,1,chicago,5000,364.61,5,6,1
TKT_000010,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-02-05,90,lower bowl,182.02,1,chicago,5000,182.02,5,6,1
TKT_000011,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-02-17,78,vip,380.0,1,chicago,5000,380.0,5,6,1
TKT_000012,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-03-26,40,vip,414.42,4,chicago,5000,1657.68,5,6,1
TKT_000013,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-02-21,74,upper bowl,98.72,3,chicago,5000,296.15999999999997,5,6,1
TKT_000014,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-25,10,general admission,119.59,2,chicago,5000,239.18,5,6,1
TKT_000015,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-21,14,lower bowl,241.61,2,chicago,5000,483.22,5,6,1
TKT_000016,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-04-19,16,general admission,118.06,1,chicago,5000,118.06,5,6,1
TKT_000017,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-03-11,55,lower bowl,163.17,2,chicago,5000,326.34,5,6,1
TKT_000018,EVT_0000,Taylor Swift - Chicago,concert,2024-05-05,2024-05-03,2,upper bowl,148.79,1,chicago,5000,148.79,5,6,1
