event_id,event_name,seat_section,competitor_price,competitor_name,date_checked
EVT_0000,Taylor Swift - Chicago,VIP,362.41,Ticketmaster,2024-04-23
EVT_0000,Taylor Swift - Chicago,Floor,285.97,SeatGeek,2024-04-27
EVT_0000,Taylor Swift - Chicago,Lower Bowl,176.92,Vivid Seats,2024-04-19
EVT_0000,Taylor Swift - Chicago,Upper Bowl,103.97,StubHub,2024-04-15
EVT_0000,Taylor Swift - Chicago,General Admission,105.08,SeatGeek,2024-04-13
EVT_0001,Yankees vs Red Sox - New York,VIP,201.03,StubHub,2024-11-24
EVT_0001,Yankees vs Red Sox - New York,Floor,185.72,SeatGeek,2024-11-25
EVT_0001,Yankees vs Red Sox - New York,Lower Bowl,134.71,Ticketmaster,2024-12-03
EVT_0001,Yankees vs Red Sox - New York,Upper Bowl,62.51,StubHub,2024-12-07
EVT_0001,Yankees vs Red Sox - New York,General Admission,55.98,SeatGeek,2024-11-21
EVT_0002,Coachella - Seattle,VIP,503.93,Vivid Seats,2024-07-11
EVT_0002,Coachella - Seattle,Floor,357.41,Ticketmaster,2024-07-08
EVT_0002,Coachella - Seattle,Lower Bowl,238.82,Vivid Seats,2024-07-05
EVT_0002,Coachella - Seattle,Upper Bowl,156.95,StubHub,2024-07-07
EVT_0002,Coachella - Seattle,General Admission,117.7,Vivid Seats,2024-07-21
EVT_0003,Taylor Swift - New York,VIP,356.25,Vivid Seats,2024-04-02
EVT_0003,Taylor Swift - New York,Floor,294.95,Vivid Seats,2024-03-28
EVT_0003,Taylor Swift - New York,Lower Bowl,218.02,SeatGeek,2024-04-14
EVT_0003,Taylor Swift - New York,Upper Bowl,105.89,SeatGeek,2024-04-12
EVT_0003,Taylor Swift - New York,General Admission,110.6,SeatGeek,2024-04-10
EVT_0004,Lakers vs Warriors - Seattle,VIP,249.63,Vivid Seats,2024-03-31
EVT_0004,Lakers vs Warriors - Seattle,Floor,177.48,StubHub,2024-04-01
EVT_0004,Lakers vs Warriors - Seattle,Lower Bowl,116.71,Vivid Seats,2024-03-17
EVT_0004,Lakers vs Warriors - Seattle,Upper Bowl,67.73,StubHub,2024-04-10
EVT_0004,Lakers vs Warriors - Seattle,General Admission,52.11,Vivid Seats,2024-04-01
EVT_0005,Outside Lands - Los Angeles,VIP,508.3,Vivid Seats,2024-08-14
EVT_0005,Outside Lands - Los Angeles,Floor,379.49,StubHub,2024-07-27
EVT_0005,Outside Lands - Los Angeles,Lower Bowl,248.8,Ticketmaster,2024-07-31
EVT_0005,Outside Lands - Los Angeles,Upper Bowl,133.88,StubHub,2024-07-26
EVT_0005,Outside Lands - Los Angeles,General Admission,120.19,SeatGeek,2024-07-21
EVT_0006,Bonnaroo - New York,VIP,426.58,SeatGeek,2024-02-21
EVT_0006,Bonnaroo - New York,Floor,302.06,Vivid Seats,2024-03-09
EVT_0006,Bonnaroo - New York,Lower Bowl,184.9,StubHub,2024-03-11
EVT_0006,Bonnaroo - New York,Upper Bowl,100.54,Vivid Seats,2024-02-26
EVT_0006,Bonnaroo - New York,General Admission,102.88,SeatGeek,2024-03-06
EVT_0007,John Mulaney - Chicago,VIP,162.78,SeatGeek,2024-03-08
EVT_0007,John Mulaney - Chicago,Floor,121.6,StubHub,2024-03-18
EVT_0007,John Mulaney - Chicago,Lower Bowl,84.18,Vivid Seats,2024-03-06
EVT_0007,John Mulaney - Chicago,Upper Bowl,49.81,SeatGeek,2024-02-24
EVT_0007,John Mulaney - Chicago,General Admission,40.93,Vivid Seats,2024-03-11
EVT_0008,Patriots vs Cowboys - New York,VIP,244.03,Vivid Seats,2024-02-04
EVT_0008,Patriots vs Cowboys - New York,Floor,211.4,StubHub,2024-01-23
EVT_0008,Patriots vs Cowboys - New York,Lower Bowl,137.4,Ticketmaster,2024-02-16
EVT_0008,Patriots vs Cowboys - New York,Upper Bowl,83.34,Vivid Seats,2024-01-31
EVT_0008,Patriots vs Cowboys - New York,General Admission,75.44,SeatGeek,2024-02-12
EVT_0009,Kevin Hart - Chicago,VIP,166.53,Ticketmaster,2024-06-15
EVT_0009,Kevin Hart - Chicago,Floor,146.33,SeatGeek,2024-06-24
EVT_0009,Kevin Hart - Chicago,Lower Bowl,77.32,Ticketmaster,2024-06-15
EVT_0009,Kevin Hart - Chicago,Upper Bowl,52.54,Vivid Seats,2024-06-11
EVT_0009,Kevin Hart - Chicago,General Admission,51.13,Ticketmaster,2024-06-19
EVT_0010,Bonnaroo - New York,VIP,361.41,Vivid Seats,2024-07-29
EVT_0010,Bonnaroo - New York,Floor,301.0,StubHub,2024-07-28
EVT_0010,Bonnaroo - New York,Lower Bowl,197.37,StubHub,2024-08-15
EVT_0010,Bonnaroo - New York,Upper Bowl,129.11,Vivid Seats,2024-07-25
EVT_0010,Bonnaroo - New York,General Admission,118.33,SeatGeek,2024-08-21
EVT_0011,Coachella - Miami,VIP,480.66,StubHub,2024-01-12
EVT_0011,Coachella - Miami,Floor,411.31,SeatGeek,2024-01-20
EVT_0011,Coachella - Miami,Lower Bowl,266.37,StubHub,2024-01-30
EVT_0011,Coachella - Miami,Upper Bowl,123.69,SeatGeek,2024-01-15
EVT_0011,Coachella - Miami,General Admission,129.84,Vivid Seats,2024-01-26
EVT_0012,Bonnaroo - Seattle,VIP,372.67,SeatGeek,2024-06-24
EVT_0012,Bonnaroo - Seattle,Floor,323.64,Ticketmaster,2024-06-10
EVT_0012,Bonnaroo - Seattle,Lower Bowl,236.91,Ticketmaster,2024-06-14
EVT_0012,Bonnaroo - Seattle,Upper Bowl,105.02,Ticketmaster,2024-06-08
EVT_0012,Bonnaroo - Seattle,General Admission,118.31,Ticketmaster,2024-07-02
EVT_0013,Lollapalooza - New York,VIP,399.76,StubHub,2024-01-14
EVT_0013,Lollapalooza - New York,Floor,343.67,StubHub,2024-01-23
EVT_0013,Lollapalooza - New York,Lower Bowl,186.91,Vivid Seats,2024-01-15
EVT_0013,Lollapalooza - New York,Upper Bowl,118.63,Vivid Seats,2024-01-12
EVT_0013,Lollapalooza - New York,General Admission,90.06,SeatGeek,2023-12-26
EVT_0014,Patriots vs Cowboys - New York,VIP,226.58,StubHub,2024-04-16
EVT_0014,Patriots vs Cowboys - New York,Floor,187.65,Vivid Seats,2024-04-24
EVT_0014,Patriots vs Cowboys - New York,Lower Bowl,118.76,StubHub,2024-04-15
EVT_0014,Patriots vs Cowboys - New York,Upper Bowl,68.13,Ticketmaster,2024-04-26
EVT_0014,Patriots vs Cowboys - New York,General Admission,55.07,StubHub,2024-04-07
EVT_0015,Drake - Chicago,VIP,339.24,Vivid Seats,2024-08-02
EVT_0015,Drake - Chicago,Floor,275.68,Vivid Seats,2024-07-24
EVT_0015,Drake - Chicago,Lower Bowl,142.87,Vivid Seats,2024-07-24
EVT_0015,Drake - Chicago,Upper Bowl,101.81,Ticketmaster,2024-07-21
EVT_0015,Drake - Chicago,General Admission,92.95,StubHub,2024-08-13
EVT_0016,Wicked - Chicago,VIP,279.2,StubHub,2024-06-04
EVT_0016,Wicked - Chicago,Floor,246.44,Vivid Seats,2024-06-24
EVT_0016,Wicked - Chicago,Lower Bowl,143.22,Ticketmaster,2024-06-01
EVT_0016,Wicked - Chicago,Upper Bowl,93.45,Ticketmaster,2024-05-31
EVT_0016,Wicked - Chicago,General Admission,73.89,Ticketmaster,2024-06-26
EVT_0017,Patriots vs Cowboys - New York,VIP,267.36,StubHub,2024-10-24
EVT_0017,Patriots vs Cowboys - New York,Floor,195.68,Ticketmaster,2024-10-09
