ticket_id,event_id,event_name,event_type,event_date,sale_date,days_until_event,seat_section,ticket_price,quantity_sold,city,venue_capacity
TKT_000001,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-10,85,VIP,330.04,2,Chicago,5000
TKT_000002,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-06,60,Floor,235.89,1,Chicago,5000
TKT_000003,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-07,28,Upper Bowl,118.07,3,Chicago,5000
TKT_000004,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-17,49,Lower Bowl,194.82,3,Chicago,5000
TKT_000005,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-02,33,VIP,422.28,3,Chicago,5000
TKT_000006,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-28,7,Lower Bowl,220.96,1,Chicago,5000
TKT_000007,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-11,84,VIP,378.3,4,Chicago,5000
TKT_000008,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-09,26,VIP,452.32,1,Chicago,5000
TKT_000009,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-05,61,VIP,364.61,1,Chicago,5000
TKT_000010,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-05,90,Lower Bowl,182.02,1,Chicago,5000
TKT_000011,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-17,78,VIP,380.0,1,Chicago,5000
TKT_000012,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-26,40,VIP,414.42,4,Chicago,5000
TKT_000013,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-21,74,Upper Bowl,98.72,3,Chicago,5000
TKT_000014,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-25,10,General Admission,119.59,2,Chicago,5000
TKT_000015,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-21,14,Lower Bowl,241.61,2,Chicago,5000
TKT_000016,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-19,16,General Admission,118.06,1,Chicago,5000
TKT_000017,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-11,55,Lower Bowl,163.17,2,Chicago,5000
TKT_000018,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-03,2,Upper Bowl,148.79,1,Chicago,5000
TKT_000019,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-19,47,Upper Bowl,114.08,2,Chicago,5000
TKT_000020,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-28,67,Lower Bowl,176.81,4,Chicago,5000
TKT_000021,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-04,62,Upper Bowl,99.5,3,Chicago,5000
TKT_000022,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-31,35,Lower Bowl,215.78,3,Chicago,5000
TKT_000023,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-23,12,Lower Bowl,245.51,1,Chicago,5000
TKT_000024,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-06,60,General Admission,88.31,1,Chicago,5000
TKT_000025,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-05-01,4,Upper Bowl,148.15,1,Chicago,5000
TKT_000026,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-07,28,Lower Bowl,222.15,1,Chicago,5000
TKT_000027,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-18,77,Lower Bowl,174.73,2,Chicago,5000
TKT_000028,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-10,25,VIP,421.03,2,Chicago,5000
TKT_000029,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-23,72,Floor,269.08,2,Chicago,5000
TKT_000030,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-03,63,Upper Bowl,106.71,1,Chicago,5000
TKT_000031,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-06,29,Upper Bowl,126.3,1,Chicago,5000
TKT_000032,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-20,75,Lower Bowl,171.88,2,Chicago,5000
TKT_000033,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-11,55,General Admission,86.26,3,Chicago,5000
TKT_000034,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-31,35,Lower Bowl,191.58,1,Chicago,5000
TKT_000035,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-10,25,Lower Bowl,196.9,2,Chicago,5000
TKT_000036,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-06,89,Floor,243.21,3,Chicago,5000
TKT_000037,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-30,36,General Admission,109.78,2,Chicago,5000
TKT_000038,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,VIP,442.82,1,Chicago,5000
TKT_000039,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-19,47,Floor,270.53,3,Chicago,5000
TKT_000040,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-18,17,Lower Bowl,202.13,1,Chicago,5000
TKT_000041,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-28,38,Floor,305.41,3,Chicago,5000
TKT_000042,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-21,14,VIP,477.37,2,Chicago,5000
TKT_000043,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-09,57,Lower Bowl,165.13,1,Chicago,5000
TKT_000044,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-04,62,VIP,383.19,2,Chicago,5000
TKT_000045,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-25,10,General Admission,118.18,1,Chicago,5000
TKT_000046,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-15,20,General Admission,119.27,1,Chicago,5000
TKT_000047,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-03,32,VIP,432.16,2,Chicago,5000
TKT_000048,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-02-18,77,General Admission,81.66,2,Chicago,5000
TKT_000049,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-08,58,Upper Bowl,98.0,2,Chicago,5000
TKT_000050,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-11,55,Lower Bowl,181.01,1,Chicago,5000
TKT_000051,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-22,13,Floor,348.96,1,Chicago,5000
TKT_000052,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-24,11,Floor,325.98,2,Chicago,5000
TKT_000053,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-14,21,VIP,445.3,2,Chicago,5000
TKT_000054,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-05,61,Lower Bowl,156.65,1,Chicago,5000
TKT_000055,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-29,37,Upper Bowl,106.29,1,Chicago,5000
TKT_000056,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-04-01,34,General Admission,104.64,4,Chicago,5000
TKT_000057,EVT_0000,Taylor Swift - Chicago,Concert,2024-05-05,2024-03-11,55,VIP,375.32,2,Chicago,5000
